search_date,flt_date,search_time
2017-11-03,2017-12-31,88
2017-11-03,2018-01-01,33
2017-11-03,2018-01-02,34
2017-11-03,2018-01-03,26
2017-11-03,2018-01-04,52
2017-11-03,2018-01-05,57
2017-11-03,2018-01-06,83
2017-11-03,2018-01-07,62
2017-11-03,2018-01-08,25
2017-11-03,2018-01-09,23
2017-11-03,2018-01-10,22
2017-11-03,2018-01-11,17
2017-11-03,2018-01-12,22
2017-11-03,2018-01-13,22
2017-11-03,2018-01-14,34
2017-11-03,2018-01-15,47
2017-11-03,2018-01-16,33
2017-11-03,2018-01-17,15
2017-11-03,2018-01-18,51
2017-11-03,2018-01-19,28
2017-11-03,2018-01-20,41
2017-11-03,2018-01-21,37
2017-11-03,2018-01-22,34
2017-11-03,2018-01-23,28
2017-11-03,2018-01-24,27
2017-11-03,2018-01-25,62
2017-11-03,2018-01-26,55
2017-11-03,2018-01-27,49
2017-11-03,2018-01-28,30
2017-11-03,2018-01-29,68
2017-11-03,2018-01-30,23
2017-11-03,2018-01-31,33
2017-11-03,2018-02-01,57
2017-11-03,2018-02-02,92
2017-11-03,2018-02-03,64
2017-11-03,2018-02-04,66
2017-11-03,2018-02-05,87
2017-11-03,2018-02-06,68
2017-11-03,2018-02-07,44
2017-11-03,2018-02-08,46
2017-11-03,2018-02-09,67
2017-11-03,2018-02-10,116
2017-11-03,2018-02-11,47
2017-11-03,2018-02-12,60
2017-11-03,2018-02-13,95
2017-11-03,2018-02-14,127
2017-11-03,2018-02-15,127
2017-11-03,2018-02-16,85
2017-11-03,2018-02-17,96
2017-11-03,2018-02-18,50
2017-11-03,2018-02-19,50
2017-11-03,2018-02-20,13
2017-11-03,2018-02-21,16
2017-11-03,2018-02-22,18
2017-11-03,2018-02-23,18
2017-11-03,2018-02-24,7
2017-11-03,2018-02-25,10
2017-11-03,2018-02-26,7
2017-11-03,2018-02-27,7
2017-11-03,2018-02-28,30
2017-11-03,2018-03-01,43
2017-11-03,2018-03-02,8
2017-11-03,2018-03-03,13
2017-11-03,2018-03-04,5
2017-11-03,2018-03-05,16
2017-11-03,2018-03-06,4
2017-11-03,2018-03-07,3
2017-11-03,2018-03-08,20
2017-11-03,2018-03-09,11
2017-11-03,2018-03-10,7
2017-11-03,2018-03-11,8
2017-11-03,2018-03-12,18
2017-11-03,2018-03-13,4
2017-11-03,2018-03-14,6
2017-11-03,2018-03-15,13
2017-11-03,2018-03-16,8
2017-11-03,2018-03-17,3
2017-11-03,2018-03-18,7
2017-11-03,2018-03-19,5
2017-11-03,2018-03-20,6
2017-11-03,2018-03-21,8
2017-11-03,2018-03-22,10
2017-11-03,2018-03-23,10
2017-11-03,2018-03-24,19
2017-11-03,2018-03-25,5
2017-11-03,2018-03-26,6
2017-11-03,2018-03-27,7
2017-11-03,2018-03-28,6
2017-11-03,2018-03-29,6
2017-11-03,2018-03-30,5
2017-11-03,2018-03-31,11
2017-11-03,2018-04-01,14
2017-11-03,2018-04-02,3
2017-11-03,2018-04-03,8
