fdate,order_date,airline,class,subclass,prc
2017-12-03,2017-11-24,MU,C,Q,23376.0
2017-12-03,2017-10-17,MU,Y,S,3988.0
2017-12-03,2017-11-02,MU,Y,S,6553.0
2017-12-03,2017-11-03,MU,Y,S,9478.0
2017-12-03,2017-11-12,MU,Y,S,5959.0
2017-12-03,2017-11-16,MU,Y,S,4066.0
2017-12-03,2017-11-17,MU,Y,S,3502.5
2017-12-03,2017-11-20,MU,Y,S,4148.0
2017-12-03,2017-11-22,MU,Y,S,6022.0
2017-12-03,2017-11-25,MU,Y,S,11629.0
2017-12-03,2017-08-02,MU,Y,T,2241.0
2017-12-03,2017-09-20,MU,Y,T,6431.0
2017-12-03,2017-09-23,MU,Y,T,2993.5
2017-12-03,2017-09-26,MU,Y,T,3850.0
2017-12-03,2017-10-04,MU,Y,T,3853.0
2017-12-03,2017-10-12,MU,Y,T,2722.0
2017-12-03,2017-10-18,MU,Y,T,3969.0
2017-12-03,2017-10-09,MU,Y,V,4693.0
2017-12-03,2017-11-09,MU,Y,V,6651.0
2017-12-03,2017-09-16,UA,C,P,9640.0
2017-12-03,2017-10-25,UA,C,P,12567.0
2017-12-03,2017-11-03,UA,C,P,9987.0
2017-12-03,2017-11-16,UA,C,P,9236.0
2017-12-03,2017-11-25,UA,C,P,20858.0
2017-12-03,2017-12-01,UA,C,P,26250.0
2017-12-03,2017-10-16,UA,Y,G,3958.0
2017-12-03,2017-10-17,UA,Y,G,3718.0
2017-12-03,2017-10-21,UA,Y,G,3583.0
2017-12-03,2017-10-26,UA,Y,G,2348.0
2017-12-03,2017-10-28,UA,Y,G,4063.0
2017-12-03,2017-11-03,UA,Y,G,3633.0
2017-12-03,2017-11-16,UA,Y,G,4162.0
2017-12-03,2017-11-22,UA,Y,G,3412.0
2017-12-03,2017-11-25,UA,Y,G,3918.0
2017-12-03,2017-11-28,UA,Y,G,4711.0
2017-12-03,2017-11-30,UA,Y,G,3554.0
2017-12-03,2017-12-01,UA,Y,G,4382.5
2017-12-03,2017-12-02,UA,Y,G,5193.0
2017-12-03,2017-11-01,UA,Y,L,6495.0
2017-12-04,2017-11-30,AA,C,D,9780.0
2017-12-04,2017-11-13,AA,C,I,15538.0
2017-12-04,2017-11-15,AA,Y,M,6479.0
2017-12-04,2017-11-27,AA,Y,N,2361.0
2017-12-04,2017-12-03,AA,Y,N,2608.0
2017-12-04,2017-10-31,AA,Y,O,3769.0
2017-12-04,2017-11-01,AA,Y,O,5163.0
2017-12-04,2017-11-12,AA,Y,O,5795.0
2017-12-04,2017-11-24,AA,Y,O,3882.0
2017-12-04,2017-11-30,AA,Y,O,3609.0
2017-12-04,2017-12-03,AA,Y,O,3832.0
2017-12-04,2017-11-08,AA,Y,Q,4961.0
2017-12-04,2017-11-08,AA,Y,S,2413.0
2017-12-04,2017-11-02,AA,Y,V,7777.0
2017-12-04,2017-11-14,AA,Y,V,1530.0
2017-12-04,2017-09-01,DL,Y,V,3639.0
2017-12-04,2017-10-17,DL,Y,V,3537.0
2017-12-04,2017-11-03,DL,Y,V,3432.0
2017-12-04,2017-11-16,DL,Y,V,3724.0
2017-12-04,2017-11-17,DL,Y,V,3578.0
2017-12-04,2017-11-27,DL,Y,V,3651.0
2017-12-04,2017-11-29,DL,Y,V,4490.0
2017-12-04,2017-11-22,DL,Y,X,6481.0
2017-12-04,2017-11-25,DL,Y,X,2199.0
2017-12-04,2017-11-28,DL,Y,X,2111.0
2017-12-04,2017-12-02,DL,Y,X,2138.0
2017-12-04,2017-12-03,DL,Y,X,2232.0
2017-12-04,2017-12-04,DL,Y,X,5820.5
2017-12-04,2017-11-03,MU,C,I,12227.0
2017-12-04,2017-11-14,MU,C,I,15021.0
2017-12-04,2017-11-17,MU,C,I,25793.0
2017-12-04,2017-11-03,MU,Y,S,4092.0
2017-12-04,2017-11-28,MU,Y,S,4285.0
2017-12-04,2017-09-24,MU,Y,T,3850.0
2017-12-04,2017-10-13,MU,Y,T,2679.0
2017-12-04,2017-10-27,MU,Y,T,2366.0
2017-12-04,2017-10-30,MU,Y,T,4240.0
2017-12-04,2017-11-21,MU,Y,T,3652.0
2017-12-04,2017-11-29,MU,Y,V,11380.0
2017-12-04,2017-12-01,MU,Y,V,4963.0
2017-12-04,2017-11-04,MU,Y,Z,6180.0
2017-12-04,2017-11-05,UA,C,P,2100.0
2017-12-04,2017-11-17,UA,C,P,19834.0
2017-12-04,2017-11-18,UA,C,P,10457.0
2017-12-04,2017-12-03,UA,C,P,1600.0
2017-12-04,2017-10-26,UA,Y,G,3573.0
2017-12-04,2017-12-01,UA,Y,G,4531.5
2017-12-04,2017-12-03,UA,Y,G,3714.0
2017-12-04,2017-12-04,UA,Y,G,2657.0
2017-12-05,2017-12-04,AA,C,D,7286.0
2017-12-05,2017-09-17,AA,C,I,16095.0
