Day, Diff, Value
57, 110, 5.000000
80, 57, -5.000000
43, 79, 5.000000
29, 16, 5.000000
15, 45, -10.000000
69, -48, 5.000000
83, -15, -10.000000
86, 82, -5.000000
56, 33, 5.000000
42, 28, 5.000000
3, -148, 5.000000
40, -30, 5.000000
70, -95, 5.000000
84, -96, 5.000000
85, 11, -10.000000
32, 137, 5.000000
71, 40, -5.000000
13, -21, 5.000000
27, 142, 5.000000
41, -75, 5.000000
71, -142, 5.000000
61, 99, 5.000000
47, 48, 5.000000
17, 5, 5.000000
3, 54, -10.000000
65, -51, 5.000000
74, 65, -5.000000
60, 44, 5.000000
8, -81, 5.000000
15, -135, 5.000000
52, -11, 5.000000
2, 149, 5.000000
66, -76, 5.000000
73, 24, -5.000000
36, 148, 5.000000
9, -32, 5.000000
31, 147, 5.000000
53, -94, 5.000000
67, -129, 5.000000
79, 135, 5.000000
49, 112, 5.000000
35, 37, 5.000000
7, 59, -10.000000
77, -6, 5.000000
78, 116, 5.000000
6, -113, 5.000000
48, 7, 5.000000
11, 141, 5.000000
20, -70, 5.000000
48, -56, 5.000000
6, 128, -10.000000
78, -69, 5.000000
77, 21, -5.000000
24, 95, 5.000000
7, -44, 5.000000
21, -11, 5.000000
49, -97, 5.000000
67, 144, 5.000000
53, 77, 5.000000
31, -132, 5.000000
39, 46, 5.000000
36, -133, 5.000000
73, -9, 5.000000
66, 123, 5.000000
2, -102, 5.000000
89, 138, 5.000000
52, 58, 5.000000
16, -59, 5.000000
60, -61, 5.000000
74, -114, 5.000000
42, 131, 5.000000
65, 34, 5.000000
28, 82, 5.000000
3, -39, 5.000000
40, -147, 5.000000
61, -116, 5.000000
41, 90, 5.000000
64, 149, 5.000000
27, 27, 5.000000
71, -25, 5.000000
85, -28, -10.000000
84, 79, -5.000000
70, 110, 5.000000
14, -111, 5.000000
40, 45, 5.000000
28, -48, 5.000000
42, -13, 5.000000
56, -50, 5.000000
86, -99, 5.000000
83, 126, 5.000000
46, 118, 5.000000
69, 63, 5.000000
16, 69, -10.000000
15, -62, 5.000000
52, -136, 5.000000
80, -42, 5.000000
57, -127, 5.000000
59, 86, 5.000000
9, -147, 5.000000
82, 77, -5.000000
45, 87, 5.000000
68, 136, 5.000000
31, 4, 5.000000
67, -24, 5.000000
81, -103, 5.000000
72, 90, -5.000000
58, 21, 5.000000
10, -92, 5.000000
44, 32, 5.000000
24, -37, 5.000000
77, -145, 5.000000
54, -18, 5.000000
68, -71, 5.000000
87, 115, -5.000000
34, 125, 5.000000
20, 56, -10.000000
63, 75, 5.000000
21, -134, 5.000000
33, 44, 0.000000
79, -3, 5.000000
76, 85, -5.000000
62, 0, 5.000000
22, -69, 5.000000
36, -18, 5.000000
73, -132, 5.000000
50, -35, 5.000000
64, -92, 5.000000
89, 23, -10.000000
75, 100, 5.000000
38, 104, 5.000000
8, 43, -10.000000
23, -24, 5.000000
47, 138, 5.000000
88, -52, 5.000000
88, 72, -5.000000
51, 124, 5.000000
17, -121, 5.000000
37, 49, 5.000000
75, -50, 5.000000
89, -125, 5.000000
64, 96, 5.000000
4, -109, 5.000000
50, 15, 5.000000
18, -50, 5.000000
32, -15, 5.000000
62, -48, 5.000000
76, -105, 5.000000
79, 89, -5.000000
26, 87, 5.000000
5, -20, 5.000000
12, 38, -10.000000
19, -27, 5.000000
