,order_cnt,predict
2017-11-01,120,131.0
2017-11-02,107,131.0
2017-11-03,124,87.0
2017-11-04,88,86.0
2017-11-05,87,84.0
2017-11-06,123,108.0
2017-11-07,122,124.0
2017-11-08,147,100.0
2017-11-09,123,120.0
2017-11-10,127,99.0
2017-11-11,112,95.0
2017-11-12,77,74.0
2017-11-13,107,97.0
2017-11-14,129,135.0
2017-11-15,124,317.0
2017-11-16,107,308.0
2017-11-17,103,283.0
2017-11-18,94,197.0
2017-11-19,78,244.0
2017-11-20,97,285.0
2017-11-21,97,240.0
2017-11-22,107,235.0
2017-11-23,85,131.0
2017-11-24,91,148.0
2017-11-25,75,125.0
2017-11-26,75,93.0
2017-11-27,86,127.0
2017-11-28,100,134.0
2017-11-29,116,139.0
2017-11-30,90,94.0
2017-12-01,99,116.0
2017-12-02,71,87.0
2017-12-03,71,95.0
2017-12-04,86,94.0
2017-12-05,137,122.0
2017-12-06,121,123.0
2017-12-07,112,140.0
2017-12-08,102,118.0
2017-12-09,78,73.0
2017-12-10,70,67.0
2017-12-11,111,120.0
2017-12-12,130,111.0
2017-12-13,124,131.0
2017-12-14,103,123.0
2017-12-15,121,103.0
2017-12-16,84,98.0
2017-12-17,67,79.0
2017-12-18,103,120.0
2017-12-19,115,158.0
2017-12-20,115,102.0
2017-12-21,109,122.0
2017-12-22,107,137.0
2017-12-23,78,88.0
2017-12-24,81,58.0
2017-12-25,116,119.0
2017-12-26,104,115.0
2017-12-27,112,137.0
2017-12-28,114,118.0
2017-12-29,90,144.0
2017-12-30,81,104.0
2017-12-31,53,70.0
2018-01-01,59,67.0
2018-01-02,114,126.0
2018-01-03,123,187.0
2018-01-04,121,142.0
2018-01-05,104,176.0
2018-01-06,107,142.0
2018-01-07,93,98.0
2018-01-08,123,138.0
2018-01-09,134,139.0
2018-01-10,135,114.0
2018-01-11,136,141.0
2018-01-12,119,99.0
2018-01-13,87,72.0
2018-01-14,66,84.0
2018-01-15,125,110.0
2018-01-16,129,131.0
2018-01-17,113,81.0
2018-01-18,122,122.0
2018-01-19,103,80.0
2018-01-20,77,77.0
2018-01-21,75,102.0
2018-01-22,87,91.0
2018-01-23,113,116.0
2018-01-24,111,107.0
2018-01-25,103,95.0
2018-01-26,101,95.0
2018-01-27,84,61.0
2018-01-28,87,65.0
2018-01-29,87,103.0
2018-01-30,103,103.0
2018-01-31,111,94.0
2018-02-01,119,136.0
2018-02-02,105,121.0
2018-02-03,87,141.0
2018-02-04,64,111.0
2018-02-05,94,102.0
2018-02-06,104,100.0
2018-02-07,105,145.0
2018-02-08,102,129.0
2018-02-09,120,116.0
2018-02-10,94,109.0
2018-02-11,95,72.0
2018-02-12,86,109.0
2018-02-13,112,98.0
2018-02-14,74,74.0
2018-02-15,54,51.0
2018-02-16,52,67.0
2018-02-17,56,70.0
2018-02-18,52,72.0
2018-02-19,47,73.0
2018-02-20,60,72.0
2018-02-21,55,94.0
2018-02-22,106,149.0
2018-02-23,99,131.0
2018-02-24,128,137.0
2018-02-25,65,90.0
2018-02-26,110,111.0
2018-02-27,153,116.0
2018-02-28,149,116.0
2018-03-01,122,97.0
2018-03-02,147,110.0
2018-03-03,120,91.0
2018-03-04,108,95.0
2018-03-05,122,90.0
2018-03-06,139,128.0
2018-03-07,129,105.0
2018-03-08,134,98.0
2018-03-09,113,139.0
2018-03-10,103,83.0
2018-03-11,90,71.0
2018-03-12,133,121.0
2018-03-13,155,133.0
2018-03-14,171,128.0
2018-03-15,164,117.0
2018-03-16,101,121.0
2018-03-17,106,97.0
2018-03-18,82,94.0
2018-03-19,120,122.0
2018-03-20,146,125.0
2018-03-21,129,134.0
2018-03-22,179,122.0
2018-03-23,151,119.0
2018-03-24,117,83.0
2018-03-25,89,67.0
2018-03-26,131,120.0
2018-03-27,135,117.0
2018-03-28,127,122.0
2018-03-29,126,118.0
2018-03-30,130,106.0
2018-03-31,85,103.0
2018-04-01,89,65.0
2018-04-02,133,119.0
2018-04-03,148,133.0
2018-04-04,136,151.0
2018-04-05,112,94.0
2018-04-06,137,76.0
2018-04-07,86,75.0
2018-04-08,129,109.0
2018-04-09,136,106.0
2018-04-10,148,92.0
2018-04-11,159,93.0
2018-04-12,179,102.0
2018-04-13,149,85.0
2018-04-14,139,78.0
2018-04-15,115,66.0
2018-04-16,196,93.0
2018-04-17,180,104.0
2018-04-18,234,112.0
2018-04-19,162,114.0
2018-04-20,161,64.0
