search_date,flt_date,search_time
2017-10-03,2017-11-29,12
2017-10-03,2017-11-30,26
2017-10-03,2017-12-01,51
2017-10-03,2017-12-02,6
2017-10-03,2017-12-03,18
2017-10-03,2017-12-04,21
2017-10-03,2017-12-05,30
2017-10-03,2017-12-06,17
2017-10-03,2017-12-07,9
2017-10-03,2017-12-08,20
2017-10-03,2017-12-09,19
2017-10-03,2017-12-10,31
2017-10-03,2017-12-11,18
2017-10-03,2017-12-12,19
2017-10-03,2017-12-13,23
2017-10-03,2017-12-14,25
2017-10-03,2017-12-15,33
2017-10-03,2017-12-16,58
2017-10-03,2017-12-17,37
2017-10-03,2017-12-18,31
2017-10-03,2017-12-19,24
2017-10-03,2017-12-20,54
2017-10-03,2017-12-21,55
2017-10-03,2017-12-22,130
2017-10-03,2017-12-23,60
2017-10-03,2017-12-24,30
2017-10-03,2017-12-25,17
2017-10-03,2017-12-26,21
2017-10-03,2017-12-27,14
2017-10-03,2017-12-28,12
2017-10-03,2017-12-29,40
2017-10-03,2017-12-30,21
2017-10-03,2017-12-31,30
2017-10-03,2018-01-01,26
2017-10-03,2018-01-02,11
2017-10-03,2018-01-03,14
2017-10-03,2018-01-04,12
2017-10-03,2018-01-05,31
2017-10-03,2018-01-06,28
2017-10-03,2018-01-07,25
2017-10-03,2018-01-08,18
2017-10-03,2018-01-09,6
2017-10-03,2018-01-10,14
2017-10-03,2018-01-11,28
2017-10-03,2018-01-12,11
2017-10-03,2018-01-13,11
2017-10-03,2018-01-14,7
2017-10-03,2018-01-15,20
2017-10-03,2018-01-16,13
2017-10-03,2018-01-17,6
2017-10-03,2018-01-18,13
2017-10-03,2018-01-19,13
2017-10-03,2018-01-20,10
2017-10-03,2018-01-21,4
2017-10-03,2018-01-22,9
2017-10-03,2018-01-23,10
2017-10-03,2018-01-24,10
2017-10-03,2018-01-25,16
2017-10-03,2018-01-26,28
2017-10-03,2018-01-27,15
2017-10-03,2018-01-28,8
2017-10-03,2018-01-29,6
2017-10-03,2018-01-30,15
2017-10-03,2018-01-31,23
2017-10-03,2018-02-01,35
2017-10-03,2018-02-02,16
2017-10-03,2018-02-03,32
2017-10-03,2018-02-04,17
2017-10-03,2018-02-05,26
2017-10-03,2018-02-06,30
2017-10-03,2018-02-07,45
2017-10-03,2018-02-08,47
2017-10-03,2018-02-09,74
2017-10-03,2018-02-10,84
2017-10-03,2018-02-11,26
2017-10-03,2018-02-12,29
2017-10-03,2018-02-13,73
2017-10-03,2018-02-14,185
2017-10-03,2018-02-15,45
2017-10-03,2018-02-16,49
2017-10-03,2018-02-17,35
2017-10-03,2018-02-18,63
2017-10-03,2018-02-19,21
2017-10-03,2018-02-20,15
2017-10-03,2018-02-21,5
2017-10-03,2018-02-22,4
2017-10-03,2018-02-23,2
2017-10-03,2018-02-24,4
2017-10-03,2018-02-25,1
2017-10-03,2018-02-26,2
2017-10-03,2018-02-27,2
2017-10-03,2018-02-28,8
