date,arrive,sh_order,sh_PV,sh_UV,sh_single_avg_px,sh_round_avg_px,sh_single_px_mid,sh_round_px_mid,bj_order,bj_PV,bj_UV,bj_single_avg_px,bj_round_avg_px,bj_single_px_mid,bj_round_px_mid
2016/3/18,одмЧрд║╓╩Пе╚бЁбЁ,132,2228,935,,15494 ,,14590 ,104,1565,753,,15730 ,,14590 
2016/3/19,одмЧрд║╓╩Пе╚бЁбЁ,123,1886,857,17704 ,10649 ,17704 ,8134 ,113,1146,649,10565 ,6374 ,10565 ,8134 
2016/3/20,одмЧрд║╓╩Пе╚бЁбЁ,113,1761,871,,22885 ,,22885 ,105,1207,686,2971 ,9409 ,2971 ,22885 
2016/3/21,одмЧрд║╓╩Пе╚бЁбЁ,124,2160,972,,13302 ,,11880 ,112,1602,734,,28443 ,,11880 
2016/3/22,одмЧрд║╓╩Пе╚бЁбЁ,132,2415,964,14905 ,20542 ,9283 ,19841 ,114,1817,762,,14849 ,,19841 
2016/3/23,одмЧрд║╓╩Пе╚бЁбЁ,134,2302,980,4424 ,21700 ,4424 ,15161 ,117,1736,769,,13494 ,,15161 
2016/3/24,одмЧрд║╓╩Пе╚бЁбЁ,129,2224,965,4618 ,8502 ,4618 ,8502 ,104,1598,742,,14291 ,,8502 
2016/3/25,одмЧрд║╓╩Пе╚бЁбЁ,130,2028,886,,29726 ,,17352 ,112,1376,699,,,,17352 
2016/3/26,одмЧрд║╓╩Пе╚бЁбЁ,117,1568,792,4304 ,27853 ,4304 ,24067 ,101,1274,643,,8593 ,,24067 
2016/3/27,одмЧрд║╓╩Пе╚бЁбЁ,112,1635,849,,13416 ,,11056 ,110,1393,681,,,,11056 
2016/3/28,одмЧрд║╓╩Пе╚бЁбЁ,114,2060,967,,26368 ,,23687 ,113,1674,770,,25677 ,,23687 
2016/3/29,одмЧрд║╓╩Пе╚бЁбЁ,128,1945,930,7350 ,15139 ,6430 ,11771 ,110,1620,773,5342 ,6898 ,5342 ,11771 
2016/3/30,одмЧрд║╓╩Пе╚бЁбЁ,119,1874,913,9650 ,17165 ,9608 ,14552 ,103,1378,660,13260 ,12803 ,13260 ,14552 
2016/3/31,одмЧрд║╓╩Пе╚бЁбЁ,109,2069,952,9828 ,13400 ,9828 ,11789 ,105,1388,693,9118 ,,9118 ,11789 
2016/4/1,одмЧрд║╓╩Пе╚бЁбЁ,114,1955,871,,21797 ,,14669 ,101,1282,685,8150 ,11571 ,8150 ,14669 
2016/4/2,одмЧрд║╓╩Пе╚бЁбЁ,126,1719,852,4617 ,13241 ,4617 ,11784 ,109,1235,677,,,,11784 
2016/4/3,одмЧрд║╓╩Пе╚бЁбЁ,115,1870,883,,12873 ,,12873 ,108,1098,644,,,,12873 
2016/4/4,одмЧрд║╓╩Пе╚бЁбЁ,119,1775,898,,22424 ,,22424 ,109,1296,714,,10290 ,,22424 
2016/4/5,одмЧрд║╓╩Пе╚бЁбЁ,105,2557,1086,,11789 ,,11789 ,114,1759,842,,6417 ,,11789 
2016/4/6,одмЧрд║╓╩Пе╚бЁбЁ,114,2316,1097,9471 ,33068 ,9471 ,15105 ,107,1447,783,18770 ,14856 ,18770 ,15105 
2016/4/7,одмЧрд║╓╩Пе╚бЁбЁ,111,2200,1056,15506 ,,15506 ,,109,1564,787,,9599 ,,
2016/4/8,одмЧрд║╓╩Пе╚бЁбЁ,117,2222,986,,17054 ,,16562 ,103,1657,817,,,,16562 
2016/4/9,одмЧрд║╓╩Пе╚бЁбЁ,107,1721,893,,22178 ,,17902 ,105,1120,723,,7509 ,,17902 
2016/4/10,одмЧрд║╓╩Пе╚бЁбЁ,114,1885,920,,21305 ,,21173 ,107,1212,731,,6416 ,,21173 
2016/4/11,одмЧрд║╓╩Пе╚бЁбЁ,117,2294,998,,14958 ,,14817 ,111,1482,752,,23593 ,,14817 
2016/4/12,одмЧрд║╓╩Пе╚бЁбЁ,116,2332,963,7191 ,15839 ,7191 ,15317 ,114,1623,805,,11941 ,,15317 
2016/4/13,одмЧрд║╓╩Пе╚бЁбЁ,113,2031,932,,13104 ,,9752 ,114,1530,747,4608 ,5634 ,4608 ,9752 
2016/4/14,одмЧрд║╓╩Пе╚бЁбЁ,123,2166,949,17701 ,21494 ,17701 ,18379 ,105,1585,766,,14709 ,,18379 
2016/4/15,одмЧрд║╓╩Пе╚бЁбЁ,125,2148,960,16431 ,20740 ,13397 ,13786 ,115,1299,657,13522 ,12627 ,13522 ,13786 
2016/4/16,одмЧрд║╓╩Пе╚бЁбЁ,126,2055,857,,13052 ,,9918 ,110,1338,664,,25858 ,,9918 
2016/4/17,одмЧрд║╓╩Пе╚бЁбЁ,105,1683,828,,20824 ,,14711 ,103,1257,658,,19142 ,,14711 
2016/4/18,одмЧрд║╓╩Пе╚бЁбЁ,115,2295,990,,18451 ,,16017 ,114,1580,764,2026 ,11152 ,2026 ,16017 
2016/4/19,одмЧрд║╓╩Пе╚бЁбЁ,135,2305,1015,9424 ,17782 ,9424 ,17755 ,104,1807,808,,12351 ,,17755 
2016/4/20,одмЧрд║╓╩Пе╚бЁбЁ,115,2310,1026,9136 ,13648 ,9136 ,9740 ,119,1419,738,,,,9740 
2016/4/21,одмЧрд║╓╩Пе╚бЁбЁ,120,1842,945,8080 ,24852 ,6760 ,14825 ,104,1515,729,9371 ,10482 ,6399 ,14825 
2016/4/22,одмЧрд║╓╩Пе╚бЁбЁ,114,2103,927,,22019 ,,15421 ,111,1523,719,,6438 ,,15421 
2016/4/23,одмЧрд║╓╩Пе╚бЁбЁ,108,2070,866,4618 ,7433 ,4618 ,6824 ,105,1290,658,4470 ,7245 ,4470 ,6824 
2016/4/24,одмЧрд║╓╩Пе╚бЁбЁ,119,1784,839,11735 ,20492 ,11735 ,19054 ,111,1319,691,,9852 ,,19054 
2016/4/25,одмЧрд║╓╩Пе╚бЁбЁ,121,2541,1085,,11678 ,,11622 ,110,1599,802,,11385 ,,11622 
2016/4/26,одмЧрд║╓╩Пе╚бЁбЁ,135,2236,1036,,19350 ,,15189 ,108,1771,844,,18549 ,,15189 
2016/4/27,одмЧрд║╓╩Пе╚бЁбЁ,131,2167,1017,,19649 ,,18344 ,114,1689,819,,4420 ,,18344 
2016/4/28,одмЧрд║╓╩Пе╚бЁбЁ,123,2176,988,1000 ,24722 ,1000 ,18899 ,108,1545,764,12628 ,10798 ,9703 ,18899 
2016/4/29,одмЧрд║╓╩Пе╚бЁбЁ,122,1814,888,14380 ,12872 ,13676 ,11618 ,107,1231,676,,7564 ,,11618 
2016/4/30,одмЧрд║╓╩Пе╚бЁбЁ,114,1687,802,5248 ,18462 ,5248 ,17234 ,106,1114,672,5421 ,20652 ,5421 ,17234 
2016/5/1,одмЧрд║╓╩Пе╚бЁбЁ,105,1549,793,,12892 ,,11650 ,110,1264,700,,11550 ,,11650 
2016/5/2,одмЧрд║╓╩Пе╚бЁбЁ,112,1775,897,5248 ,17153 ,5248 ,16186 ,110,1317,727,4623 ,12577 ,4623 ,16186 
2016/5/3,одмЧрд║╓╩Пе╚бЁбЁ,114,2294,1082,19076 ,17098 ,19076 ,15482 ,118,1824,863,8731 ,,6155 ,15482 
2016/5/4,одмЧрд║╓╩Пе╚бЁбЁ,127,2216,1020,,19922 ,,19207 ,118,1904,834,11017 ,15177 ,11017 ,19207 
2016/5/5,одмЧрд║╓╩Пе╚бЁбЁ,115,2227,1049,10396 ,21874 ,10396 ,17816 ,112,1876,843,11039 ,13226 ,11039 ,17816 
2016/5/6,одмЧрд║╓╩Пе╚бЁбЁ,110,2146,927,7630 ,12547 ,5748 ,9149 ,106,1473,746,,9159 ,,9149 
2016/5/7,одмЧрд║╓╩Пе╚бЁбЁ,123,1882,899,8382 ,19512 ,8007 ,15548 ,112,1225,655,,6447 ,,15548 
2016/5/8,одмЧрд║╓╩Пе╚бЁбЁ,109,1810,916,9136 ,14717 ,9136 ,9728 ,108,1181,684,4834 ,22414 ,4834 ,9728 
2016/5/9,одмЧрд║╓╩Пе╚бЁбЁ,111,2431,1077,,23054 ,,17481 ,106,1878,809,,16950 ,,17481 
2016/5/10,одмЧрд║╓╩Пе╚бЁбЁ,111,2331,1057,7268 ,18246 ,5968 ,16174 ,115,1845,804,7975 ,11145 ,7975 ,16174 
2016/5/11,одмЧрд║╓╩Пе╚бЁбЁ,123,2036,967,,28161 ,,18884 ,109,1719,762,11057 ,25344 ,11057 ,18884 
2016/5/12,одмЧрд║╓╩Пе╚бЁбЁ,118,2395,1034,4684 ,32816 ,4684 ,25566 ,107,1579,760,13627 ,14032 ,13627 ,25566 
2016/5/13,одмЧрд║╓╩Пе╚бЁбЁ,116,2176,975,4618 ,20307 ,4618 ,18379 ,103,1627,823,5446 ,11900 ,5446 ,18379 
2016/5/14,одмЧрд║╓╩Пе╚бЁбЁ,109,1884,864,,18102 ,,18075 ,106,1241,639,,6466 ,,18075 
2016/5/15,одмЧрд║╓╩Пе╚бЁбЁ,126,1845,903,,15895 ,,14750 ,109,1347,706,,10667 ,,14750 
2016/5/16,одмЧрд║╓╩Пе╚бЁбЁ,109,2383,1145,,35899 ,,22841 ,110,1921,915,,13623 ,,22841 
2016/5/17,одмЧрд║╓╩Пе╚бЁбЁ,134,2626,1089,6149 ,18135 ,6149 ,19107 ,113,1654,831,5682 ,7004 ,5682 ,19107 
2016/5/18,одмЧрд║╓╩Пе╚бЁбЁ,121,2215,995,,12952 ,,7790 ,114,1698,821,,14313 ,,7790 
2016/5/19,одмЧрд║╓╩Пе╚бЁбЁ,114,2455,1002,7115 ,13707 ,7115 ,13401 ,123,1790,797,,15630 ,,13401 
2016/5/20,одмЧрд║╓╩Пе╚бЁбЁ,115,1904,881,5425 ,18456 ,4629 ,15656 ,123,1533,717,,16129 ,,15656 
2016/5/21,одмЧрд║╓╩Пе╚бЁбЁ,129,1845,900,,14582 ,,13408 ,125,1405,676,,15387 ,,13408 
2016/5/22,одмЧрд║╓╩Пе╚бЁбЁ,123,1888,905,6078 ,34681 ,6078 ,34612 ,119,1551,730,14168 ,29419 ,11823 ,34612 
2016/5/23,одмЧрд║╓╩Пе╚бЁбЁ,130,2264,1096,9955 ,20309 ,9955 ,20592 ,119,2121,925,3473 ,22327 ,4672 ,20592 
2016/5/24,одмЧрд║╓╩Пе╚бЁбЁ,134,2270,1125,4314 ,20245 ,4314 ,14932 ,109,2004,916,16332 ,19484 ,16332 ,14932 
2016/5/25,одмЧрд║╓╩Пе╚бЁбЁ,123,2102,986,7961 ,27746 ,5968 ,26233 ,114,1661,763,,25069 ,,26233 
2016/5/26,одмЧрд║╓╩Пе╚бЁбЁ,124,2273,1018,10691 ,14426 ,9158 ,13744 ,111,1676,801,8302 ,9029 ,8062 ,13744 
2016/5/27,одмЧрд║╓╩Пе╚бЁбЁ,123,2080,1016,11561 ,17382 ,12365 ,15319 ,105,1726,843,4717 ,17482 ,4717 ,15319 
2016/5/28,одмЧрд║╓╩Пе╚бЁбЁ,140,2052,938,4701 ,21187 ,4629 ,15656 ,107,1276,653,7980 ,7681 ,6397 ,15656 
2016/5/29,одмЧрд║╓╩Пе╚бЁбЁ,126,1864,954,,47222 ,,43462 ,113,1355,700,10796 ,12436 ,10796 ,43462 
2016/5/30,одмЧрд║╓╩Пе╚бЁбЁ,118,2205,1050,15944 ,13017 ,14027 ,13443 ,115,1683,856,,12634 ,,13443 
2016/5/31,одмЧрд║╓╩Пе╚бЁбЁ,138,2373,1032,8226 ,13169 ,6868 ,11771 ,104,1648,788,18394 ,12790 ,14372 ,11771 
