fdate,order_cnt
2016-10-13,73
2016-10-14,111
2016-10-15,123
2016-10-16,110
2016-10-17,79
2016-10-18,76
2016-10-19,75
2016-10-20,101
2016-10-21,100
2016-10-22,112
2016-10-23,103
2016-10-24,80
2016-10-25,94
2016-10-26,110
2016-10-27,148
2016-10-28,119
2016-10-29,129
2016-10-30,121
2016-10-31,131
2016-11-01,154
2016-11-02,85
2016-11-03,55
2016-11-04,88
2016-11-05,114
2016-11-06,100
2016-11-07,70
2016-11-08,73
2016-11-09,71
2016-11-10,83
2016-11-11,79
2016-11-12,115
2016-11-13,102
2016-11-14,80
2016-11-15,88
2016-11-16,76
2016-11-17,74
2016-11-18,127
2016-11-19,130
2016-11-20,114
2016-11-21,86
2016-11-22,94
2016-11-23,71
2016-11-24,8
2016-11-25,108
2016-11-26,77
2016-11-27,81
2016-11-28,109
2016-11-29,86
2016-11-30,61
2016-12-01,95
2016-12-02,82
2016-12-03,89
2016-12-04,76
2016-12-05,80
2016-12-06,78
2016-12-07,63
2016-12-08,79
2016-12-09,86
2016-12-10,117
2016-12-11,98
2016-12-12,95
2016-12-13,87
2016-12-14,93
2016-12-15,109
2016-12-16,176
2016-12-17,162
2016-12-18,169
2016-12-19,101
2016-12-20,176
2016-12-21,157
2016-12-22,222
2016-12-23,224
2016-12-24,142
2016-12-25,106
2016-12-26,107
2016-12-27,174
2016-12-28,132
2016-12-29,132
2016-12-30,95
2016-12-31,114
